Spanish,English
que,that
de,from
no,no
a,a
la,the
es,it is
y,and
en,on
lo,it
un,a
por,by
qué,that
me,me
una,a
te,at
se,I know
para,for
mi,me
está,is
si,and
bien,good
pero,but
yo,me
eso,that
las,the
sí,Yes
su,its
tu,your
aquí,here
del,of the
al,to the
como,What
le,the
más,plus
esto,this
ya,the
todo,everything
esta,is
vamos,we go
muy,very
hay,there are
ahora,now
algo,something
estoy,am
tengo,I have
nos,US
tú,your
nada,any
cuando,when
ha,he has
este,It is
sé,see
estás,these
así,So
puedo,Can I
cómo,excuse me
quiero,want
sólo,single
soy,I am
tiene,have
gracias,Thank you
o,O
él,he
bueno,well
fue,it was
ser,to be
hacer,do
son,his
todos,everybody
era,was
eres,are
vez,time
tienes,you have
creo,I think
he,he
ese,that
voy,go
puede,may
sabes,you know
hola,Hello there
sus,their
porque,because
dios,God
quién,who
nunca,never
dónde,where
quieres,want
casa,home
favor,favor
esa,this
dos,From
tan,so
señor,Mister
verdad,truth
estaba,was
mejor,better
están,is it so
va,will
hombre,man
usted,you
hace,does
entonces,then
siento,I feel
tenemos,have
puedes,you can
ti,ti
vida,life
ver,watch
alguien,somebody
hasta,until
sin,without
mí,my
solo,alone
años,years
sobre,upon
decir,tell
uno,one
oh,oh
ir,and
también,too
antes,before
has,has
ni,ni
mis,what
día,day
estar,to be
estamos,we're
noche,evening
nadie,nobody
otra,other
quiere,wants
parece,It seems
nosotros,U.S
poco,little
padre,dad
trabajo,job
gente,people
sea,sea
